th01,th02,th03,th04,th11,th12,th13,th14,th21,th22,th23,th24,th31,th32,th33,th34,th41,th42,th43,th44,?
7.639345755125787E-4,1.044910007759798,1.570354747325588,3.1412104554081655,7.639346449892165E-4,1.0449100077920643,1.570354556204662,3.1422104554478936,7.6393481861503E-4,1.0449100078938185,1.5703543650238623,3.1432104556265728,7.639350963899946E-4,1.0449100080650815,1.5703541737835962,3.1442104559442434,7.639354783141023E-4,1.0449100083058245,1.5703539824842705,3.1452104564009087,
9.094469477613779E-4,1.044475243739207,1.5702705179673446,3.141137602939214,9.09447034427605E-4,1.0444752437770586,1.570270290417879,3.142137602979743,9.094472450757443E-4,1.0444752438976448,1.5702700627971071,3.1431376031857106,9.094475797057712E-4,1.0444752441009881,1.5702698351055138,3.1441376035571653,9.094480383176822E-4,1.0444752443870609,1.5702696073435851,3.1451376040941086,
0.0010677315519393392,1.0440026660742399,1.5701788523798896,3.1410583369222085,0.0010677316587463896,1.0440026661179613,1.5701785851955805,3.1420583369611395,0.0010677319111069665,1.0440026662588338,1.5701783179275208,3.1430583371943377,0.0010677323090210458,1.0440026664968785,1.5701780505762784,3.1440583376218454,0.0010677328524886338,1.044002666832061,1.5701777831424237,3.145058338243665,
0.0012388188051966984,1.0434922706570933,1.570079722047601,3.14097263734324,0.0012388189354665703,1.0434922707069199,1.5700794120123083,3.141972637377551,0.001238819234604131,1.0434922708694805,1.5700791018798057,3.142972637637295,0.001238819702609358,1.0434922711448018,1.5700787916507455,3.1439726381225124,0.0012388203394822685,1.0434922715328414,1.5700784813257895,3.14497263883321,
0.0014227415530180581,1.042944053037759,1.569973096118569,3.1408804825733987,0.0014227417104758454,1.0429440530938696,1.5699727400055257,3.1418804825993862,0.0014227420618619891,1.042944053279472,1.5699723837807913,3.1428804828843226,0.001422742607176471,1.0429440535945917,1.5699720274451043,3.1438804834282412,0.0014227433464193287,1.0429440540391894,1.569971670999231,3.1448804842311553,
0.001619535068070187,1.0423580084209796,1.5698589413917625,3.140781849365487,0.0016195352568770256,1.0423580084834911,1.5698585359627746,3.1417818493787126,0.00161953566642365,1.0423580086934305,1.5698581304065866,3.1427818496867514,0.0016195362967100562,1.042358009050826,1.569857724724032,3.143781850289649,0.0016195371477363,1.0423580095556337,1.5698573189159817,3.1447818511874055,
0.001829237048959181,1.041734131663012,1.5697372223031647,3.140676712850462,0.0018292372737458737,1.041734131731973,1.5697367643078244,3.141676712845693,0.0018292377478390976,1.0417341319674864,1.5697363061687344,3.1426767131739703,0.001829238471238862,1.0417341323695728,1.5697358478868353,3.143676713835336,0.0018292394439452526,1.0417341329381944,1.5697353894631096,3.1446767148297985,
0.002051887618895631,1.0410724172681871,1.5696079009109565,3.1405650465336095,0.002051887884797003,1.041072417343582,1.5696073870858347,3.1415650465047595,0.0020518884303318127,1.0410724176058361,1.5696068730993713,3.1425650468495623,0.002051889255500085,1.0410724180549717,1.5696063589526232,3.1435650475680657,0.0020518903603019426,1.0410724186909512,1.5696058446466916,3.144565048660273,
0.002287529324266389,1.0403728593853003,1.569470936879664,3.1404468222904387,0.002287529636956419,1.0403728594670336,1.5694703639475165,3.141446822230513,0.002287530261372092,1.0403728597571267,1.569469790835386,3.1424468225872304,0.0022875311975134615,1.040372860255605,1.569469217544453,3.1434468233606476,0.0022875324453806843,1.040372860962429,1.5694686440759424,3.144446824550761,
0.0025362071331112546,1.0396354518038087,1.569326287463309,3.1403220103623055,0.0025362074988390403,1.0396354518917048,1.5693256521322716,3.141322010263338,0.002536208210155411,1.039635452210661,1.569325016601556,3.1423220106264025,0.002536209267060447,1.0396354527607021,1.5693243808724693,3.1433220114515517,0.0025362106695543613,1.0396354535417907,1.5693237449463677,3.1443220127387965,
