th01,th02,th03,th11,th12,th13,th21,th22,th23,th31,th32,th33,th41,th42,th43,?
1.5098674043228546,-0.40357770118253405,-8.5208717430687,0.7397031025941807,0.06471683842761532,17.163928096335148,-1.0621519749964374,-2.1027894824337396,11.543288447880116,0.7104443332284616,0.18844852699477024,18.92602741161279,0.9189122171749524,-0.8297385835539628,2.706575087225315,
1.5056180108281492,-0.4049561550482068,-8.52110903746622,0.742774090415247,0.06458947977527696,17.179251219606826,-1.0627825689667316,-2.0994524355665636,11.539754947504692,0.7117609264097787,0.20144773651859044,18.90545449118383,0.9142596124583916,-0.8373290195833044,2.7002936339134687,
1.5013444284167108,-0.40631539157550006,-8.521348812001547,0.7458254763991985,0.06436590638054304,17.19457680558922,-1.0634009824749737,-2.096090015003752,11.536210098169365,0.7128002027312829,0.21461552159621106,18.884958779441657,0.9095652436114764,-0.8448895367884445,2.6940202749497812,
1.4970467173025335,-0.40765508456937033,-8.521591118666207,0.7488564542357228,0.06404639418534867,17.209906022191934,-1.064007362518447,-2.092702072329545,11.532653757987749,0.7135655250961214,0.22793433884494713,18.864558785610885,0.9048295707334089,-0.8524197244400795,2.687754888619833,
1.4927249371465998,-0.40897490648556645,-8.521836008230741,0.7518662043428697,0.06363121597799606,17.22524005383003,-1.0646018588547965,-2.0892884549915935,11.529085783479296,0.7140614186461446,0.24138613542454984,18.844272884248934,0.9000530582081702,-0.8599191693488589,2.6814973504424837,
1.4883791470157408,-0.41027452844689793,-8.522083530195795,0.7548538932234491,0.06312064124321987,17.240580101273174,-1.0651846240629417,-2.0858490062442274,11.525506029552371,0.7142935314276765,0.25495253584261623,18.824119088961034,0.8952361746060502,-0.8673874560694713,2.6752475332077825,
1.4840094053407311,-0.41155362025908354,-8.522333732742924,0.7578186727927486,0.06251493605773217,17.255927381496804,-1.065755813605581,-2.082383565090423,11.52191434948763,0.7142685713788389,0.2686150375724684,18.804114831828244,0.8903793925811104,-0.8748241671044613,2.6690053070185367,
1.4796157698736208,-0.4128118504261363,-8.522586662684722,0.7607596796768696,0.061814363033181954,17.271283127533884,-1.0663155858932873,-2.07889196622248,11.518310594921992,0.7139942217724248,0.2823552088361296,18.784276756250566,0.8854831887646747,-0.8822288831076499,2.662770539335518,
1.475198297644274,-0.41404888616525004,-8.522842365414638,0.7636760344809616,0.06101918130863689,17.286648588324745,-1.0668641023502596,-2.0753740399614173,11.514694615832964,0.7134790382751967,0.2961548818404596,18.76462053017662,0.8805480436550289,-0.8896011830870378,2.656543095026287,
1.4707570449161236,-0.41526439342113947,-8.523100884856271,0.7665668410266375,0.060129646594888,17.302025028563335,-1.067401527481754,-2.0718296121950193,11.511066260523808,0.7127323315804006,0.3099963351425211,18.745160685503237,0.8755744415034521,-0.8969406446070646,2.65032283641761,
1.4662920671411395,-0.41645803687979255,-8.523362263412146,0.769431185557845,0.05914601127308529,17.317413728536657,-1.0679280289432573,-2.0682585043145814,11.50742537560914,0.7117640400747708,0.32386245961216026,18.725910487901167,0.8705628701967284,-0.9042468439900909,2.6441096233514148,
1.4618034189139846,-0.417629479981594,-8.523626541912128,0.7722681359144726,0.058068524550437504,17.332815983955292,-1.068443777611428,-2.0646605331503105,11.5037718060015,0.7105845971882504,0.33773690356543484,18.706881839609068,0.8655138211362904,-0.9115193565169928,2.6379033132442404,
1.4572911539253812,-0.4187783849337698,-8.523893759561295,0.7750767406729927,0.056897432675954596,17.34823310577164,-1.0689489476568554,-2.0610355109053637,11.50010539489849,0.7092047979537357,0.3516041939447892,18.68808521599362,0.8604277891141457,-0.9187577566267218,2.6317037611501424,
1.4527553249146443,-0.4199044127221047,-8.524163953887333,0.7778560282534503,0.055632979219470205,17.363666419982643,-1.0694437166186852,-2.0573832450885443,11.496425983770989,0.7076356689158011,0.3654498317945008,18.66952963504905,0.8553052721857279,-0.9259616181147109,2.6255108198269816,
1.4481959836214113,-0.42100722312188893,-8.5244371606875,0.7806050059921716,0.054275405417466886,17.379117267413605,-1.0699282654811446,-2.0537035384456717,11.492733412352264,0.7058883449342134,0.3792603616045115,18.651222657618664,0.850146771539837,-0.9331305143300042,2.619324339806032,
1.4436131807365313,-0.4220864747080391,-8.524713413975086,0.7833226591795822,0.05282495058952403,17.394587003478904,-1.0704027787520238,-2.0499961888895406,11.489027518628129,0.7039739557041848,0.39302341527526413,18.633170415042652,0.8449527913658182,-0.9402640183709724,2.6131441694648516,
